,liftID,resortID,liftName,status,timeToRide,timestamp,time_diff,time_diff_seconds
64,3,13,7th Heaven Express,X,6,Sun Feb  9 15:16:09 2020,0 days 18:00:00.027258000,64800.027258
65,3,13,7th Heaven Express,O,6,Mon Feb 10 09:16:09 2020,0 days 06:00:00.290699000,21600.290699
66,3,13,7th Heaven Express,X,6,Mon Feb 10 15:16:09 2020,0 days 17:59:59.241997000,64799.241997000005
67,3,13,7th Heaven Express,O,6,Tue Feb 11 09:16:08 2020,0 days 06:00:00.499504000,21600.499504000003
68,3,13,7th Heaven Express,X,6,Tue Feb 11 15:16:09 2020,0 days 18:00:00.348354000,64800.348354
69,3,13,7th Heaven Express,O,6,Wed Feb 12 09:16:09 2020,0 days 05:59:59.806971000,21599.806971
70,3,13,7th Heaven Express,X,6,Wed Feb 12 15:16:09 2020,0 days 17:59:59.788444000,64799.788444000005
71,3,13,7th Heaven Express,O,6,Thu Feb 13 09:16:09 2020,0 days 05:59:59.817562000,21599.817562
72,3,13,7th Heaven Express,X,6,Thu Feb 13 15:16:09 2020,0 days 03:30:00.035511000,12600.035511
1832,4,13,Jersey Cream Express,X,5,Fri Jan  3 00:19:09 2020,0 days 07:29:59.217251000,26999.217251000002
1833,4,13,Jersey Cream Express,H,5,Fri Jan  3 07:49:08 2020,0 days 00:59:59.955929000,3599.955929
1834,4,13,Jersey Cream Express,O,5,Fri Jan  3 08:49:08 2020,0 days 06:30:00.075907000,23400.075907000002
1835,4,13,Jersey Cream Express,X,5,Fri Jan  3 15:19:08 2020,0 days 17:00:00.490553000,61200.490553
1836,4,13,Jersey Cream Express,H,5,Sat Jan  4 08:19:09 2020,0 days 01:29:59.192153000,5399.192153
1837,4,13,Jersey Cream Express,O,5,Sat Jan  4 09:49:08 2020,0 days 05:30:00.317132000,19800.317132
1838,4,13,Jersey Cream Express,X,5,Sat Jan  4 15:19:08 2020,0 days 16:29:59.800197000,59399.800197000004
1839,4,13,Jersey Cream Express,H,5,Sun Jan  5 07:49:08 2020,0 days 01:30:00.570781000,5400.570781
1840,4,13,Jersey Cream Express,O,5,Sun Jan  5 09:19:09 2020,0 days 05:59:59.432408000,21599.432408
1841,4,13,Jersey Cream Express,X,5,Sun Jan  5 15:19:08 2020,0 days 16:41:20.253036000,60080.253036
1842,4,13,Jersey Cream Express,H,5,Mon Jan  6 08:00:28 2020,0 days 00:44:57.319780000,2697.3197800000003
