index,liftID,resortID,liftName,status,timeToRide,timestamp,time_diff,time_diff_seconds
586,39,13,Olympic Chair,O,5,Sun Feb 16 09:23:18 2020,0 days 06:36:21.882768000,23781.882768000003
588,39,13,Olympic Chair,X,5,Sun Feb 16 15:59:40 2020,0 days 21:05:07.210682000,75907.210682
587,39,13,Olympic Chair,O,5,Mon Feb 17 13:04:47 2020,0 days 00:00:00.000000000,0.0
250,22,13,Peak 2 Peak Gondola,X,12,Sat Feb 15 20:13:50 2020,0 days 13:09:27.875414000,47367.875414
573,22,13,Peak 2 Peak Gondola,O,12,Sun Feb 16 09:23:18 2020,1 days 03:41:29.093450000,99689.09345
574,22,13,Peak 2 Peak Gondola,X,12,Sun Feb 16 15:59:40 2020,0 days 21:05:07.210682000,75907.210682
573,22,13,Peak 2 Peak Gondola,O,12,Mon Feb 17 13:04:47 2020,0 days 00:00:00.000000000,0.0
267,43,13,Peak Express,X,3,Sat Feb 15 20:13:50 2020,0 days 13:09:27.875414000,47367.875414
587,43,13,Peak Express,O,3,Sun Feb 16 09:23:18 2020,1 days 03:41:29.093450000,99689.09345
590,43,13,Peak Express,X,3,Sun Feb 16 15:59:40 2020,0 days 21:05:07.210682000,75907.210682
588,43,13,Peak Express,O,3,Mon Feb 17 13:04:47 2020,0 days 00:00:00.000000000,0.0
254,12,13,Showcase T-Bar,X,3,Sat Feb 15 20:13:50 2020,0 days 13:09:27.875414000,47367.875414
577,12,13,Showcase T-Bar,O,3,Sun Feb 16 09:23:18 2020,1 days 03:41:29.093450000,99689.09345
590,12,13,Showcase T-Bar,X,3,Sun Feb 16 14:58:11 2020,0 days 22:06:35.533021000,79595.53302100001
577,12,13,Showcase T-Bar,O,3,Mon Feb 17 13:04:47 2020,0 days 00:00:00.000000000,0.0
269,42,13,Symphony Express,X,7,Sat Feb 15 20:13:50 2020,0 days 14:11:46.124783000,51106.12478300001
590,42,13,Symphony Express,O,7,Sun Feb 16 10:25:36 2020,1 days 02:39:10.844081000,95950.844081
593,42,13,Symphony Express,X,7,Sun Feb 16 14:58:11 2020,0 days 22:06:35.533021000,79595.53302100001
590,42,13,Symphony Express,O,7,Mon Feb 17 13:04:47 2020,0 days 00:00:00.000000000,0.0
270,41,13,T-Bars,X,5,Sat Feb 15 20:13:50 2020,0 days 13:09:27.875414000,47367.875414
589,41,13,T-Bars,O,5,Sun Feb 16 09:23:18 2020,1 days 03:41:29.093450000,99689.09345
593,41,13,T-Bars,X,5,Sun Feb 16 15:59:40 2020,0 days 21:05:07.210682000,75907.210682
591,41,13,T-Bars,O,5,Mon Feb 17 13:04:47 2020,0 days 00:00:00.000000000,0.0
257,33,13,Whistler Village Gondola Lower,X,5,Sat Feb 15 20:13:50 2020,0 days 13:09:27.875414000,47367.875414
578,33,13,Whistler Village Gondola Lower,O,5,Sun Feb 16 09:23:18 2020,1 days 03:41:29.093450000,99689.09345
580,33,13,Whistler Village Gondola Lower,X,5,Sun Feb 16 15:59:40 2020,0 days 21:05:07.210682000,75907.210682
579,33,13,Whistler Village Gondola Lower,O,5,Mon Feb 17 13:04:47 2020,0 days 00:00:00.000000000,0.0
258,72,13,Whistler Village Gondola Upper,X,11,Sat Feb 15 20:13:50 2020,0 days 13:09:27.875414000,47367.875414
579,72,13,Whistler Village Gondola Upper,O,11,Sun Feb 16 09:23:18 2020,1 days 03:41:29.093450000,99689.09345
581,72,13,Whistler Village Gondola Upper,X,11,Sun Feb 16 15:59:40 2020,0 days 21:05:07.210682000,75907.210682
580,72,13,Whistler Village Gondola Upper,O,11,Mon Feb 17 13:04:47 2020,0 days 00:00:00.000000000,0.0
280,9,14,Adventure Carpet,X,1,Sat Feb 15 20:13:50 2020,0 days 13:09:27.875414000,47367.875414
602,9,14,Adventure Carpet,O,1,Sun Feb 16 09:23:18 2020,1 days 03:41:29.093450000,99689.09345
602,9,14,Adventure Carpet,X,1,Sun Feb 16 13:47:08 2020,0 days 23:17:39.248158000,83859.248158
281,10,14,Adventure Triple,X,3,Sat Feb 15 20:13:50 2020,0 days 13:09:27.875414000,47367.875414
